,ID,number,1_level_up,1_level_down,1_level_left,1_level_right,1_time,2_level_up,2_level_down,2_level_left,2_level_right,2_time,3_level_up,3_level_down,3_level_left,3_level_right,3_time,4_level_up,4_level_down,4_level_left,4_level_right,4_time,5_level_up,5_level_down,5_level_left,5_level_right,5_time,6_level_up,6_level_down,6_level_left,6_level_right,6_time,7_level_up,7_level_down,7_level_left,7_level_right,7_time,8_level_up,8_level_down,8_level_left,8_level_right,8_time,9_level_up,9_level_down,9_level_left,9_level_right,9_time,10_level_up,10_level_down,10_level_left,10_level_right,10_time,11_level_up,11_level_down,11_level_left,11_level_right,11_time,12_level_up,12_level_down,12_level_left,12_level_right,12_time
0,test_cognitive_motor,12,1,1,1,1,2015-02-18_12-20-36,105,105,105,105,2015-02-18_12-39-06,95,95,95,95,2015-02-18_12-42-28,35.2710843373494,35.2710843373494,35.2710843373494,35.2710843373494,2015-07-13_20-04-24,36.897590361445786,36.897590361445786,36.897590361445786,36.897590361445786,2015-07-14_18-18-24,65.96,55.96,65.96,65.96,2016-10-25_17-23-18,66.2,66.2,66.2,66.2,2016-11-02_14-08-36,66.2,66.2,66.2,66.2,2017-01-16_17-28-23,66.44,66.44,66.44,66.44,2017-04-11_09-05-56,66.56,21.56,66.56,66.56,2017-04-11_09-17-29,66.68,36.68,66.68,66.68,2017-04-11_09-24-15,66.72,36.72,66.72,66.72,2017-04-25_14-07-28
1,LP,3,85,80,95,90,2015-02-02_11-33-53,105,105,105,105,2015-02-03_11-16-46,90,110,110,110,2015-02-04_08-21-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ML,3,100,100,100,100,2015-02-02_08-54-09,105,85,105,100,2015-02-03_08-19-25,105,95,110,110,2015-02-04_11-58-26,105,95,110,110,2015-02-04_11-58-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SC,5,100,95,105,105,2015-02-06_20-08-28,95,90,110,100,2015-02-07_09-10-14,100,95,100,105,2015-02-07_14-33-14,105,105,110,105,2015-02-08_09-11-16,100,110,110,100,2015-02-08_14-30-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MC,6,105,105,105,105,2015-02-07_10-20-42,95,70,100,110,2015-02-07_13-11-59,105,105,115,115,2015-02-07_18-37-09,115,80,120,115,2015-02-08_10-47-33,110,90,120,115,2015-02-08_13-34-44,115,95,120,120,2015-02-08_16-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MK,3,100,85,85,95,2015-02-16_15-44-45,100,90,105,85,2015-02-17_08-34-58,115,105,105,100,2015-02-18_08-37-53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MP,3,105,75,95,105,2015-02-16_16-40-49,95,90,100,90,2015-02-18_09-44-58,105,90,110,100,2015-02-19_15-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,JT,3,95,70,85,95,2015-02-17_10-09-39,100,85,105,100,2015-02-18_11-31-40,100,100,110,100,2015-02-23_16-33-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PS,3,105,70,100,100,2015-02-17_09-44-42,100,90,100,100,2015-02-18_09-25-51,110,90,115,100,2015-02-19_17-15-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PE23,4,90.421686747,70.421686747,95.421686747,90.421686747,2015-03-07_12-46-19,94.3975903614,79.3975903614,99.3975903614,104.3975903614,2015-03-08_17-10-30,92.4698795181,92.4698795181,102.4698795181,87.4698795181,2015-03-10_18-59-01,110,85,95,110,2015-03-18_19-35-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
