,ID,number,1_up,1_down,1_left,1_right,1_time,1_file_name,2_up,2_down,2_left,2_right,2_time,2_file_name,3_up,3_down,3_left,3_right,3_time,3_file_name,4_up,4_down,4_left,4_right,4_time,4_file_name,5_up,5_down,5_left,5_right,5_time,5_file_name,6_up,6_down,6_left,6_right,6_time,6_file_name
0,2,1,30,30,30,30,2015-01-16_09-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LP,3,105,100,115,110,2015-02-02_11-33-53,u'LP_ventures_calibration2_2015-02-02_11-31-23',120,120,120,120,2015-02-03_11-16-46,u'LP_ventures_calibration2_2015-02-03_11-15-09',100,120,120,120,2015-02-04_08-21-49,u'LP_ventures_calibration2_2015-02-04_08-19-57',,,,,,,,,,,,,,,,,,
2,ML,3,120,120,120,120,2015-02-02_08-54-09,u'ML_ventures_calibration2_2015-02-02_08-52-15',120,100,120,115,2015-02-03_08-19-25,u'ML_ventures_calibration2_2015-02-03_08-17-45',115,105,120,120,2015-02-04_11-58-26,u'ML_ventures_calibration2_2015-02-04_11-56-43',,,,,,,,,,,,,,,,,,
3,SC,5,115,110,120,120,2015-02-06_20-08-28,u'SC_ventures_calibration2_2015-02-06_20-04-18',105,100,120,110,2015-02-07_09-10-14,u'SC_ventures_calibration2_2015-02-07_09-06-49',105,100,105,110,2015-02-07_14-33-14,u'SC_ventures_calibration2_2015-02-07_14-29-41',105,105,110,105,2015-02-08_09-11-16,u'SC_ventures_calibration2_2015-02-08_09-09-18',100,110,110,100,2015-02-08_14-30-16,u'SC_ventures_calibration2_2015-02-08_14-28-46',,,,,,
4,MC,6,120,120,120,120,2015-02-07_10-20-42,u'MC_ventures_calibration2_2015-02-07_10-19-01',110,80,110,120,2015-02-07_13-11-59,u'MC_ventures_calibration2_2015-02-07_13-08-56',110,110,120,120,2015-02-07_18-37-09,u'MC_ventures_calibration2_2015-02-07_18-35-47',115,80,120,115,2015-02-08_10-47-33,u'MC_ventures_calibration2_2015-02-08_10-45-44',110,90,120,115,2015-02-08_13-34-44,u'MC_ventures_calibration2_2015-02-08_13-33-13',115,95,120,120,2015-02-08_16-07-06,u'MC_ventures_calibration2_2015-02-08_16-05-38'
5,MK,3,115,100,100,110,2015-02-16_15-44-45,u'MK_ventures_calibration2_2015-02-16_15-41-52',110,100,115,95,2015-02-17_08-34-58,u'MK_ventures_calibration2_2015-02-17_08-32-36',120,110,110,105,2015-02-18_08-37-53,u'MK_ventures_calibration2_2015-02-18_08-35-34',,,,,,,,,,,,,,,,,,
6,MP,3,120,90,110,120,2015-02-16_16-40-49,u'MP_ventures_calibration2_2015-02-16_16-38-16',105,100,110,100,2015-02-18_09-44-58,u'MP_ventures_calibration2_2015-02-18_09-41-53',105,90,110,100,2015-02-19_15-07-23,u'MP_ventures_calibration2_2015-02-19_15-04-28',,,,,,,,,,,,,,,,,,
7,JT,3,110,85,100,110,2015-02-17_10-09-39,u'JT_ventures_calibration2_2015-02-17_10-07-30',110,95,115,110,2015-02-18_11-31-40,u'JT_ventures_calibration2_2015-02-18_11-29-12',100,100,110,100,2015-02-23_16-33-24,u'JT_ventures_calibration2_2015-02-23_16-30-26',,,,,,,,,,,,,,,,,,
8,PS,3,120,85,115,115,2015-02-17_09-44-42,u'PS_ventures_calibration2_2015-02-17_09-41-54',110,100,110,110,2015-02-18_09-25-51,u'PS_ventures_calibration2_2015-02-18_09-23-22',110,90,115,100,2015-02-19_17-15-34,u'PS_ventures_calibration2_2015-02-19_17-12-55',,,,,,,,,,,,,,,,,,
9,PE23,4,120,75,100,95,2015-02-21_12-25-44,u'PE23_ventures_calibration2_2015-02-21_12-23-00',110,90,115,110,2015-03-07_12-15-05,u'PE23_ventures_calibration2_2015-03-07_12-12-23',110,95,115,120,2015-03-08_16-40-11,u'PE23_ventures_calibration2_2015-03-08_16-37-35',105,105,115,100,2015-03-10_18-26-27,u'PE23_ventures_calibration2_2015-03-10_18-23-43',,,,,,,,,,,,
10,test_cognitive_motor,4,80,80,80,80,2015-01-19_20-24-30,u'test_cognitive_motor_ventures_calibration2_2015-02-21_12-23-00',115,95,110,110,2015-03-07_10-37-12,u'test_cognitive_motor_ventures_calibration2_2015-03-07_10-34-59',105,110,110,110,2015-03-07_10-58-51,u'test_cognitive_motor_ventures_calibration2_2015-03-07_10-56-44',110,90,105,110,2015-03-07_11-07-59,u'test_cognitive_motor_ventures_calibration2_2015-03-07_11-05-25',,,,,,,,,,,,
11,test_motor,1,80,80,80,80,2015-01-27_19-18-53,u'test_motor_ventures_calibration2_2015-02-21_12-23-00',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,DW25,5,110,55,110,105,2015-03-10_12-37-34,u'DW25_ventures_calibration2_2015-03-10_12-34-13',95,65,100,105,2015-03-12_15-00-23,u'DW25_ventures_calibration2_2015-03-12_14-55-58',95,70,110,105,2015-03-13_10-06-54,u'DW25_ventures_calibration2_2015-03-13_10-04-06',110,80,105,110,2015-03-16_09-25-30,u'DW25_ventures_calibration2_2015-03-16_09-23-15',105,85,105,105,2015-03-18_09-25-42,u'DW25_ventures_calibration2_2015-03-18_09-22-59',,,,,,
13,IZ29,1,100,75,115,120,2015-03-23_11-08-40,u'IZ29_ventures_calibration2_2015-03-23_11-05-42',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
