,ID,session_type
0,test_cognitive,cognitive
1,test_cognitive_motor,cognitive_motor
2,test_motor,motor
3,EJ29,cognitive
4,AU32,cognitive
5,MATI,cognitive
6,test_key_motor,key_motor
9,IJ38,cognitive
10,ML,cognitive_motor
11,LP,cognitive_motor
12,SC,cognitive_motor
13,MC,cognitive_motor
14,JP,cognitive_motor
15,PS,cognitive_motor
16,MK,cognitive_motor
17,MP,motor
18,JT,motor
19,AC,motor
20,PE23,cognitive_motor
21,DW25,cognitive_motor
22,IZ29,cognitive_motor
23,BB21,motor
24,MK31,cognitive
25,KJ24,motor
26,TI29,cognitive_motor
27,JT41,motor
28,AM33,motor
29,WS12,motor
30,MS34,cognitive
31,EB56,cognitive_motor
32,WB78,cognitive_motor
33,HA01,cognitive
34,EK02,cognitive
35,KB81,motor
36,TD78,motor
30,TR11,cognitive
31,GR12,cognitive
32,HZ14,cognitive
33,GZ66,cognitive
34,WT01,motor
35,WK88,motor
36,KK99,cognitive_motor
37,BK05,motor
38,DJ97,cognitive_motor
39,ZA90,cognitive_motor
